age,Depth [m],Cal age min [ka BP],Cal age max [ka BP],Accu model [a/cm],Acaena,Chen/Amar ,Apiaceae,Asteraceae Liguliflorae,Asteraceae Tubuliflorae,Austrocedrus chilensis,Berberis,Brassicaceae,Calycera,Caryophyllaceae,Cyperaceae,Drimys winteri,Elodea,Embothrium coccineum,Ephedra andina,Ericaceae,Gentiana,Gentianella,Gunnera chilensis,Isoetes savatieri,Kageneckia,Krameria ,Lamiaceae,Lithraea caustica,Malvaceae,Maytenus ,Misodendrum ,Muehlenbeckia ,Mutisia ,Myriophyllum,Myrtaceae,Nothofagus dombeyi-type,Nothofagus obliqua-type,Onagraceae,Plantago,Poaceae,Podocarpus salignus ,Polypodiaceae,Prumnopitys andina,Pteris chilensis,Rosaceae,Rubiaceae,Rumex,Typha angustifolia,Utricularia,Valeriana
19.8644,3.2,19.1335,20.5633,74.389,6,6,3,0,21,0,0,0,2,2,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,24,9,0,3,23,0,0,23,0,4,0,0,1,0,3
20.6083,3.3,19.8802,21.3205,74.389,6,5,2,2,24,0,0,0,2,2,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,3,23,9,4,3,25,3,0,20,0,2,0,0,0,0,3
21.3521,3.4,20.584,22.1233,74.389,5,9,2,0,16,0,0,0,2,2,12,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,0,27,5,0,2,17,3,0,27,0,2,0,0,0,0,0
22.096,3.5,21.2606,22.9296,74.389,6,8,3,2,21,0,0,0,2,2,7,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,3,0,0,2,0,30,7,0,0,19,3,2,12,0,0,0,0,0,0,0
22.8399,3.6,21.9214,23.765,74.389,5,6,2,0,24,0,0,0,0,3,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,2,26,5,4,3,27,0,0,13,0,0,0,0,0,0,0
23.5838,3.7,22.5628,24.6072,74.389,5,6,2,0,24,0,0,0,0,2,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,26,7,0,0,27,3,2,7,0,0,3,0,0,0,0
24.3277,3.8,23.1992,25.4611,74.389,4,6,2,0,25,0,0,0,3,2,11,2,0,0,1,0,1,0,0,2,0,0,0,3,0,7,3,0,0,0,0,23,5,0,0,23,2,0,18,0,0,0,0,0,0,3
25.0716,3.9,23.8208,26.3281,74.389,4,3,2,1,21,0,0,0,2,1,6,0,0,0,7,1,1,0,0,0,0,0,0,0,0,3,0,2,0,1,0,23,5,0,2,24,4,0,14,3,2,2,0,0,0,2
25.8154,4,24.4388,27.1963,63.016,3,3,3,0,22,0,0,2,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,5,0,2,0,2,0,30,5,0,3,31,0,2,5,0,0,4,0,0,0,0
26.4456,4.1,25.2088,27.7054,63.016,3,12,4,0,18,0,0,0,2,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,2,33,5,0,2,23,0,0,11,0,2,4,0,0,0,3
27.0758,4.2,25.9178,28.2506,63.016,4,7,3,2,27,0,0,0,0,2,6,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,0,3,0,6,2,32,7,0,2,27,0,0,9,0,0,0,0,0,0,0
